Comunidad autónoma;Curso de ingreso;Años de duración;Sexo;Total
Canarias;2017-2018;TOTAL;AMBOS SEXOS;56,1
Canarias;2017-2018;TOTAL;Hombres;52,6
Canarias;2017-2018;TOTAL;Mujeres;61,1
Canarias;2017-2018;2 años;AMBOS SEXOS;43,7
Canarias;2017-2018;2 años;Hombres;39,5
Canarias;2017-2018;2 años;Mujeres;49,7
Canarias;2017-2018;3 años;AMBOS SEXOS;8,3
Canarias;2017-2018;3 años;Hombres;8,2
Canarias;2017-2018;3 años;Mujeres;8,5
Canarias;2017-2018;4 años;AMBOS SEXOS;4,1
Canarias;2017-2018;4 años;Hombres;4,8
Canarias;2017-2018;4 años;Mujeres;3,0
Canarias;2016-2017 (1);TOTAL;AMBOS SEXOS;53,1
Canarias;2016-2017 (1);TOTAL;Hombres;48,3
Canarias;2016-2017 (1);TOTAL;Mujeres;59,9
Canarias;2016-2017 (1);2 años;AMBOS SEXOS;41,6
Canarias;2016-2017 (1);2 años;Hombres;36,9
Canarias;2016-2017 (1);2 años;Mujeres;48,5
Canarias;2016-2017 (1);3 años;AMBOS SEXOS;8,9
Canarias;2016-2017 (1);3 años;Hombres;9,1
Canarias;2016-2017 (1);3 años;Mujeres;8,6
Canarias;2016-2017 (1);4 años;AMBOS SEXOS;2,5
Canarias;2016-2017 (1);4 años;Hombres;2,3
Canarias;2016-2017 (1);4 años;Mujeres;2,8
Cantabria;2021-2022;TOTAL;AMBOS SEXOS;..
Cantabria;2021-2022;TOTAL;Hombres;..
Cantabria;2021-2022;TOTAL;Mujeres;..
Cantabria;2021-2022;2 años;AMBOS SEXOS;46,7
Cantabria;2021-2022;2 años;Hombres;38,7
Cantabria;2021-2022;2 años;Mujeres;57,3
Cantabria;2021-2022;3 años;AMBOS SEXOS;..
Cantabria;2021-2022;3 años;Hombres;..
Cantabria;2021-2022;3 años;Mujeres;..
Cantabria;2021-2022;4 años;AMBOS SEXOS;..
Cantabria;2021-2022;4 años;Hombres;..
Cantabria;2021-2022;4 años;Mujeres;..
Cantabria;2020-2021;TOTAL;AMBOS SEXOS;..
Cantabria;2020-2021;TOTAL;Hombres;..
Cantabria;2020-2021;TOTAL;Mujeres;..
Cantabria;2020-2021;2 años;AMBOS SEXOS;49,4
Cantabria;2020-2021;2 años;Hombres;41,3
Cantabria;2020-2021;2 años;Mujeres;59,5
Cantabria;2020-2021;3 años;AMBOS SEXOS;15,2
Cantabria;2020-2021;3 años;Hombres;16,6
Cantabria;2020-2021;3 años;Mujeres;13,4
Cantabria;2020-2021;4 años;AMBOS SEXOS;..
Cantabria;2020-2021;4 años;Hombres;..
Cantabria;2020-2021;4 años;Mujeres;..
Cantabria;2019-2020;TOTAL;AMBOS SEXOS;70,1
Cantabria;2019-2020;TOTAL;Hombres;65,8
Cantabria;2019-2020;TOTAL;Mujeres;75,5
Cantabria;2019-2020;2 años;AMBOS SEXOS;48,7
Cantabria;2019-2020;2 años;Hombres;41,7
Cantabria;2019-2020;2 años;Mujeres;57,5
Cantabria;2019-2020;3 años;AMBOS SEXOS;16,2
Cantabria;2019-2020;3 años;Hombres;17,1
Cantabria;2019-2020;3 años;Mujeres;15,0
Cantabria;2019-2020;4 años;AMBOS SEXOS;5,3
Cantabria;2019-2020;4 años;Hombres;7,0
Cantabria;2019-2020;4 años;Mujeres;3,1
Cantabria;2018-2019;TOTAL;AMBOS SEXOS;66,1
Cantabria;2018-2019;TOTAL;Hombres;59,5
Cantabria;2018-2019;TOTAL;Mujeres;74,3
Cantabria;2018-2019;2 años;AMBOS SEXOS;39,1
Cantabria;2018-2019;2 años;Hombres;30,8
Cantabria;2018-2019;2 años;Mujeres;49,5
Cantabria;2018-2019;3 años;AMBOS SEXOS;21,2
Cantabria;2018-2019;3 años;Hombres;21,8
Cantabria;2018-2019;3 años;Mujeres;20,5
Cantabria;2018-2019;4 años;AMBOS SEXOS;5,7
Cantabria;2018-2019;4 años;Hombres;6,9
Cantabria;2018-2019;4 años;Mujeres;4,3
Cantabria;2017-2018;TOTAL;AMBOS SEXOS;66,0
Cantabria;2017-2018;TOTAL;Hombres;60,3
Cantabria;2017-2018;TOTAL;Mujeres;73,6
Cantabria;2017-2018;2 años;AMBOS SEXOS;44,8
Cantabria;2017-2018;2 años;Hombres;36,5
Cantabria;2017-2018;2 años;Mujeres;56,0
Cantabria;2017-2018;3 años;AMBOS SEXOS;14,0
