Comunidad autónoma;Curso de ingreso;Años de duración;Sexo;Total
Melilla;2018-2019;4 años;Hombres;3,2
Melilla;2018-2019;4 años;Mujeres;4,0
Melilla;2017-2018;TOTAL;AMBOS SEXOS;53,4
Melilla;2017-2018;TOTAL;Hombres;49,4
Melilla;2017-2018;TOTAL;Mujeres;58,7
Melilla;2017-2018;2 años;AMBOS SEXOS;39,7
Melilla;2017-2018;2 años;Hombres;36,0
Melilla;2017-2018;2 años;Mujeres;44,4
Melilla;2017-2018;3 años;AMBOS SEXOS;7,2
Melilla;2017-2018;3 años;Hombres;8,5
Melilla;2017-2018;3 años;Mujeres;5,6
Melilla;2017-2018;4 años;AMBOS SEXOS;6,6
Melilla;2017-2018;4 años;Hombres;4,9
Melilla;2017-2018;4 años;Mujeres;8,7
Melilla;2016-2017 (1);TOTAL;AMBOS SEXOS;41,8
Melilla;2016-2017 (1);TOTAL;Hombres;39,6
Melilla;2016-2017 (1);TOTAL;Mujeres;44,8
Melilla;2016-2017 (1);2 años;AMBOS SEXOS;31,3
Melilla;2016-2017 (1);2 años;Hombres;28,6
Melilla;2016-2017 (1);2 años;Mujeres;35,1
Melilla;2016-2017 (1);3 años;AMBOS SEXOS;7,0
Melilla;2016-2017 (1);3 años;Hombres;6,6
Melilla;2016-2017 (1);3 años;Mujeres;7,5
Melilla;2016-2017 (1);4 años;AMBOS SEXOS;3,5
Melilla;2016-2017 (1);4 años;Hombres;4,4
Melilla;2016-2017 (1);4 años;Mujeres;2,2
